data/nyu2_train/living_room_0038_out/37.jpg,data/nyu2_train/living_room_0038_out/37.png
data/nyu2_train/living_room_0038_out/115.jpg,data/nyu2_train/living_room_0038_out/115.png
data/nyu2_train/living_room_0038_out/6.jpg,data/nyu2_train/living_room_0038_out/6.png
data/nyu2_train/living_room_0038_out/49.jpg,data/nyu2_train/living_room_0038_out/49.png
data/nyu2_train/living_room_0038_out/152.jpg,data/nyu2_train/living_room_0038_out/152.png
data/nyu2_train/living_room_0038_out/142.jpg,data/nyu2_train/living_room_0038_out/142.png
data/nyu2_train/living_room_0038_out/94.jpg,data/nyu2_train/living_room_0038_out/94.png
data/nyu2_train/living_room_0038_out/158.jpg,data/nyu2_train/living_room_0038_out/158.png
data/nyu2_train/living_room_0038_out/18.jpg,data/nyu2_train/living_room_0038_out/18.png
data/nyu2_train/living_room_0038_out/167.jpg,data/nyu2_train/living_room_0038_out/167.png
data/nyu2_train/living_room_0038_out/21.jpg,data/nyu2_train/living_room_0038_out/21.png
data/nyu2_train/living_room_0038_out/48.jpg,data/nyu2_train/living_room_0038_out/48.png
data/nyu2_train/living_room_0038_out/75.jpg,data/nyu2_train/living_room_0038_out/75.png
data/nyu2_train/living_room_0038_out/171.jpg,data/nyu2_train/living_room_0038_out/171.png
data/nyu2_train/living_room_0038_out/25.jpg,data/nyu2_train/living_room_0038_out/25.png
data/nyu2_train/living_room_0038_out/13.jpg,data/nyu2_train/living_room_0038_out/13.png
data/nyu2_train/living_room_0038_out/68.jpg,data/nyu2_train/living_room_0038_out/68.png
data/nyu2_train/living_room_0038_out/28.jpg,data/nyu2_train/living_room_0038_out/28.png
data/nyu2_train/living_room_0038_out/161.jpg,data/nyu2_train/living_room_0038_out/161.png
data/nyu2_train/living_room_0038_out/85.jpg,data/nyu2_train/living_room_0038_out/85.png
data/nyu2_train/living_room_0038_out/57.jpg,data/nyu2_train/living_room_0038_out/57.png
data/nyu2_train/living_room_0038_out/34.jpg,data/nyu2_train/living_room_0038_out/34.png
data/nyu2_train/living_room_0038_out/118.jpg,data/nyu2_train/living_room_0038_out/118.png
data/nyu2_train/living_room_0038_out/53.jpg,data/nyu2_train/living_room_0038_out/53.png
data/nyu2_train/living_room_0038_out/11.jpg,data/nyu2_train/living_room_0038_out/11.png
data/nyu2_train/living_room_0038_out/46.jpg,data/nyu2_train/living_room_0038_out/46.png
data/nyu2_train/living_room_0038_out/135.jpg,data/nyu2_train/living_room_0038_out/135.png
data/nyu2_train/living_room_0038_out/39.jpg,data/nyu2_train/living_room_0038_out/39.png
data/nyu2_train/living_room_0038_out/71.jpg,data/nyu2_train/living_room_0038_out/71.png
data/nyu2_train/living_room_0038_out/29.jpg,data/nyu2_train/living_room_0038_out/29.png
data/nyu2_train/living_room_0038_out/14.jpg,data/nyu2_train/living_room_0038_out/14.png
data/nyu2_train/living_room_0038_out/113.jpg,data/nyu2_train/living_room_0038_out/113.png
data/nyu2_train/living_room_0038_out/138.jpg,data/nyu2_train/living_room_0038_out/138.png
data/nyu2_train/living_room_0038_out/30.jpg,data/nyu2_train/living_room_0038_out/30.png
data/nyu2_train/living_room_0038_out/16.jpg,data/nyu2_train/living_room_0038_out/16.png
data/nyu2_train/living_room_0038_out/105.jpg,data/nyu2_train/living_room_0038_out/105.png
data/nyu2_train/living_room_0038_out/62.jpg,data/nyu2_train/living_room_0038_out/62.png
data/nyu2_train/living_room_0038_out/56.jpg,data/nyu2_train/living_room_0038_out/56.png
data/nyu2_train/living_room_0038_out/119.jpg,data/nyu2_train/living_room_0038_out/119.png
data/nyu2_train/living_room_0038_out/42.jpg,data/nyu2_train/living_room_0038_out/42.png
data/nyu2_train/living_room_0038_out/2.jpg,data/nyu2_train/living_room_0038_out/2.png
data/nyu2_train/living_room_0038_out/129.jpg,data/nyu2_train/living_room_0038_out/129.png
data/nyu2_train/living_room_0038_out/160.jpg,data/nyu2_train/living_room_0038_out/160.png
data/nyu2_train/living_room_0038_out/126.jpg,data/nyu2_train/living_room_0038_out/126.png
data/nyu2_train/living_room_0038_out/91.jpg,data/nyu2_train/living_room_0038_out/91.png
data/nyu2_train/living_room_0038_out/162.jpg,data/nyu2_train/living_room_0038_out/162.png
data/nyu2_train/living_room_0038_out/93.jpg,data/nyu2_train/living_room_0038_out/93.png
data/nyu2_train/living_room_0038_out/70.jpg,data/nyu2_train/living_room_0038_out/70.png
data/nyu2_train/living_room_0038_out/60.jpg,data/nyu2_train/living_room_0038_out/60.png
data/nyu2_train/living_room_0038_out/3.jpg,data/nyu2_train/living_room_0038_out/3.png
data/nyu2_train/living_room_0038_out/132.jpg,data/nyu2_train/living_room_0038_out/132.png
data/nyu2_train/living_room_0038_out/54.jpg,data/nyu2_train/living_room_0038_out/54.png
data/nyu2_train/living_room_0038_out/146.jpg,data/nyu2_train/living_room_0038_out/146.png
data/nyu2_train/living_room_0038_out/121.jpg,data/nyu2_train/living_room_0038_out/121.png
data/nyu2_train/living_room_0038_out/122.jpg,data/nyu2_train/living_room_0038_out/122.png
data/nyu2_train/living_room_0038_out/130.jpg,data/nyu2_train/living_room_0038_out/130.png
data/nyu2_train/living_room_0038_out/10.jpg,data/nyu2_train/living_room_0038_out/10.png
data/nyu2_train/living_room_0038_out/4.jpg,data/nyu2_train/living_room_0038_out/4.png
data/nyu2_train/living_room_0038_out/153.jpg,data/nyu2_train/living_room_0038_out/153.png
data/nyu2_train/living_room_0038_out/12.jpg,data/nyu2_train/living_room_0038_out/12.png
data/nyu2_train/living_room_0038_out/163.jpg,data/nyu2_train/living_room_0038_out/163.png
data/nyu2_train/living_room_0038_out/169.jpg,data/nyu2_train/living_room_0038_out/169.png
data/nyu2_train/living_room_0038_out/168.jpg,data/nyu2_train/living_room_0038_out/168.png
